Selected benchmark bond yields - Government of Canada,,,,,,,,,,,,
,,,,,,,,,,,,
Series,2022-04-28,2022-04-29,2022-05-02,2022-05-03,2022-05-04,Year,Month,Day,Maturity,ISIN,Outstanding Amount,
Treasury Bills,,,,,,,,,,,,
1 month,,,,,0.92,2022,6,23,2022-06-23,CA1350Z7AG92,"17,400,000,000",
3 month,,,,,1.41,2022,8,4,2022-08-04,CA1350Z7AX26,"15,000,000,000",
6 month,,,,,1.99,2022,11,10,2022-11-10,CA1350Z7AS31,"6,200,000,000",
1 year,,,,,2.4,2023,4,27,2023-04-27,CA1350Z7A613,"3,200,000,000",
Benchmark bond yields,,,,,,,,,,,,
2 year,2.53,2.63,2.66,2.71,2.61,2024,2,1,2024-02-01,,,
3 year,2.58,2.67,2.7,2.76,2.65,2024,10,1,2024-10-01,,,
5 year,2.66,2.75,2.81,2.84,2.74,2027,3,1,2027-03-01,,,
7 year,2.66,2.75,2.81,2.84,2.75,2028,6,1,2028-06-01,,,
10 year,2.8,2.88,2.95,2.96,2.9,2031,12,1,2031-12-01,,,
Long-term,2.75,2.81,2.87,2.88,2.86,2051,12,1,2051-12-01,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
